#separator:tab
#html:false
#notetype:Basic
#deck:Calcolabilità e Complessità

Front	Back
Teorema: NP-Completezza di IS — dimostrazione	IS $\in$ NP: NTM genera $S$, verifica $|S| \geq k$ e assenza di archi in $S$. 3SAT $\leq_P$ IS: data $\varphi = C_1 \wedge \cdots \wedge C_m$ in 3CNF, costruiamo $\langle G, k \rangle$ con $k = m$. Nodi: un nodo per ogni occorrenza di letterale, raggruppati in $m$ triangoli. Archi intra-clausola: i 3 nodi di ogni clausola formano un triangolo (al più un nodo per clausola nell'IS). Archi inter-clausola: tra $x_i$ e $\neg x_i$ in clausole diverse (no letterali complementari nell'IS). Completezza: da $\tau \models \varphi$, si sceglie un letterale vero per clausola: IS di taglia $m$. Correttezza: IS di taglia $m$ ha esattamente un nodo per triangolo; si definisce $\tau$ dai letterali scelti (ben definito, ogni clausola soddisfatta).
Definizione di VERTEX COVER (VC)	$VC = \{\langle G, k \rangle \mid G \text{ ha un VC } C \text{ con } |C| \leq k\}$. Un VC è un $C \subseteq V$ tale che per ogni arco $\{u,v\} \in E$ almeno uno tra $u$ e $v$ appartiene a $C$.
Lemma del Complemento IS-VC — enunciato e dimostrazione	Enunciato: $S$ è IS di $G \iff V \setminus S$ è VC di $G$. Dimostrazione ($\Rightarrow$): sia $\{u,v\} \in E$. Poiché $S$ è IS, non possono entrambi stare in $S$, quindi almeno uno $\notin S$, cioè $\in C = V \setminus S$: l'arco è coperto. ($\Leftarrow$): siano $u,v \in S$. Poiché $u,v \notin C$ e $C$ è VC, se $\{u,v\} \in E$ l'arco non avrebbe un estremo in $C$: contraddizione. Quindi $\{u,v\} \notin E$.
Corollario IS-VC	$G$ ha IS di taglia $k \iff G$ ha VC di taglia $|V| - k$.
Teorema: NP-Completezza di VC — dimostrazione	VC $\in$ NP: NTM genera $C$, verifica $|C| \leq k$ e copertura degli archi. IS $\leq_P$ VC: data $\langle G, k \rangle$, costruiamo $\langle G, |V|-k \rangle$ (stesso grafo). Per il Lemma del Complemento: IS di taglia $\geq k \iff$ VC di taglia $\leq |V|-k$. Riduzione $O(1)$.
Definizione di CLIQUE	$CLIQUE = \{\langle G, k \rangle \mid G \text{ ha una clique } C \text{ con } |C| \geq k\}$. Una clique è un $C \subseteq V$ tale che ogni coppia $u,v \in C$ è collegata.
Lemma del Complemento IS-Clique — enunciato e dimostrazione	Enunciato: $S$ è IS di $G \iff S$ è clique di $\bar{G}$. Dimostrazione ($\Rightarrow$): siano $u,v \in S$. $\{u,v\} \notin E$ (IS), quindi $\{u,v\} \in \bar{E}$: $S$ è clique di $\bar{G}$. ($\Leftarrow$): siano $u,v \in S$. $\{u,v\} \in \bar{E}$ (clique), quindi $\{u,v\} \notin E$: $S$ è IS di $G$.
Teorema: NP-Completezza di CLIQUE — dimostrazione	CLIQUE $\in$ NP: NTM genera $C$, verifica $|C| \geq k$ e che ogni coppia sia collegata. IS $\leq_P$ CLIQUE: data $\langle G, k \rangle$, costruiamo $\langle \bar{G}, k \rangle$. Per il Lemma del Complemento IS-Clique: IS di taglia $\geq k$ in $G \iff$ clique di taglia $\geq k$ in $\bar{G}$. Costruzione di $\bar{G}$: $O(|V|^2)$.
Definizione di DOMINATING SET (DS)	$DS = \{\langle G, k \rangle \mid G \text{ ha un DS } D \text{ con } |D| \leq k\}$. Un DS è un $D \subseteq V$ tale che ogni $v \in V \setminus D$ ha un vicino in $D$.
Teorema: NP-Completezza di DS — dimostrazione	DS $\in$ NP: si indovina $D$ e si verifica che ogni nodo fuori da $D$ abbia un vicino in $D$. VC $\leq_P$ DS: data $\langle G, k \rangle$ (senza nodi isolati), si costruisce $H$ aggiungendo per ogni arco $e = \{u,v\}$ un nodo $v_e$ collegato a $u$ e $v$, con soglia $\ell = k$. Completezza: un VC $C$ di $G$ è già DS di $H$ (ogni $v \notin C$ ha un vicino in $C$ perché $G$ non ha isolati; ogni $v_e$ ha un estremo in $C$). Correttezza: i nodi speciali in $D$ si sostituiscono con un loro estremo (la dominanza non diminuisce), ottenendo un insieme di nodi originali che copre ogni arco = VC.
Definizione di KERNEL	Dato un grafo diretto $G=(V,E)$, un kernel $K \subseteq V$ soddisfa: (1) Indipendenza: nessun arco tra nodi di $K$; (2) Dominanza/Assorbenza: per ogni $v \in V \setminus K$ esiste $(v, u) \in E$ con $u \in K$. $KERNEL = \{G \mid G \text{ ha un kernel}\}$.
Teorema: NP-Completezza di KERNEL — dimostrazione (schema)	KERNEL $\in$ NP: si indovina $K$ e si verifica indipendenza e assorbenza. 3SAT $\leq_P$ KERNEL: per ogni variabile $x_i$, gadget bidirezionale $x_i \leftrightarrow \neg x_i$ (esattamente uno entra in $K$). Per ogni clausola $C_j$, nodo $C_j$ con archi $C_j \to \ell$ per ogni $\ell \in C_j$ e $\bar{\ell} \to C_j$. Completezza: dall'assegnamento $\tau$, si mette in $K$ il letterale vero di ogni coppia; ogni clausola è dominata da un suo letterale vero. Correttezza: $K$ definisce un assegnamento consistente; ogni $C_j$ deve essere dominato, quindi ha un letterale vero in $K$.
Caratterizzazione di NP tramite certificati — teorema e dimostrazione	Enunciato: $L \in NP \iff \exists R_L$ polinomialmente bilanciata e decidibile t.c. $L = \{x \mid \exists y : \langle x,y \rangle \in R_L\}$. Dimostrazione ($\Leftarrow$): si costruisce NTM $M$: indovina $y$ di taglia $\leq \|x\|^c$, verifica $\langle x,y \rangle \in R_L$ in tempo polinomiale. Se $x \in L$, esiste $y$ valido e un ramo accetta. ($\Rightarrow$): $L \in NP$, $M$ decide in tempo $p(n)$. Il certificato è la sequenza di ID del ramo accettante. Taglia: $p(n) \cdot p(n)$ (polinomiale). Verificabilità: si controlla che ogni ID sia legal successor della precedente e l'ultima sia accettante — polinomiale.
Definizione di RELAZIONE POLINOMIALMENTE BILANCIATA	$R$ è polinomialmente bilanciata se $\exists c$ t.c. $\forall \langle x,y \rangle \in R: \|y\| \leq \|x\|^c$. Il certificato non è troppo più grande dell'istanza.
Definizione di RELAZIONE POLINOMIALMENTE DECIDIBILE	$R$ è polinomialmente decidibile se esiste una MdT deterministica che, data $\langle x,y \rangle$, stabilisce in tempo polinomiale se appartiene a $R$.
Definizione di VERTEX COLORING (VCOL)	Una $k$-colorazione di $G=(V,E)$ è $f:V \to \{1,\ldots,k\}$ t.c. $f(u) \neq f(v)$ per ogni $\{u,v\} \in E$. Il numero cromatico $\chi(G)$ è il minimo $k$. $VCOL = \{\langle G,k \rangle \mid G \text{ ammette una } k\text{-colorazione}\}$.
Teorema: NP-Completezza di VCOL — schema della dimostrazione	VCOL $\in$ NP: si indovina $f$ e si verificano tutti gli archi. 3SAT $\leq_P$ VCOL (con $k=3$ fisso): triangolo base $\{T,F,B\}$ (tre colori). Per ogni variabile $x_i$: gadget con $x_i, \neg x_i$ collegati tra loro e a $B$ (uno prende il colore "true", l'altro "false"). Per ogni clausola $(l_1 \vee l_2 \vee l_3)$: due gadget OR concatenati, l'output collegato a $F$ e $B$ (forzato ad essere "true"). Completezza: assegnamento soddisfacente → colorazione valida. Correttezza: colorazione → assegnamento (ogni clausola ha almeno un letterale "true"). Conseguenza: 3-VCOL è già NP-Completo; 1-VCOL banale, 2-VCOL in $P$ (bipartito).
Definizione di EXACT COVER (EC)	Dato universo finito $U$ e famiglia $\mathcal{F}$ di sottoinsiemi, una exact cover è $\mathcal{P} \subseteq \mathcal{F}$ t.c. (1) $\bigcup_{s \in \mathcal{P}} s = U$; (2) gli insiemi in $\mathcal{P}$ sono disgiunti. $EC = \{(U, \mathcal{F}) \mid \exists\, \mathcal{P} \text{ partizione di } U\}$.
Teorema: NP-Completezza di EC — schema della riduzione 3SAT $\leq_P$ EC	Data $\varphi$ in 3CNF su variabili $x_1,\ldots,x_n$ e clausole $C_1,\ldots,C_l$. Universo: $U_\varphi = \{x_i\} \cup \{c_j\} \cup \{P_{j,k}\}$. Famiglia: (Tipo 1) singleton $\{P_{j,k}\}$; (Tipo 2) per ogni $x_i$: $T_{i,\top} = \{x_i\} \cup \{P_{j,k} \mid \lambda_{j,k} = \neg x_i\}$ e $T_{i,\bot} = \{x_i\} \cup \{P_{j,k} \mid \lambda_{j,k} = x_i\}$; (Tipo 3) per ogni clausola e posizione: $\{c_j, P_{j,k}\}$. Meccanismo: scegliendo $T_{i,\top}$ o $T_{i,\bot}$ si codifica l'assegnamento; gli $P_{j,k}$ liberi (letterali veri) permettono di coprire $c_j$; i rimanenti vengono coperti da singleton. Completezza e correttezza dimostrate per costruzione.
Definizione di KNAPSACK (KN)	$KN = \{(w_1,\ldots,w_n, v_1,\ldots,v_n, W, K) \mid \exists S \subseteq \{1,\ldots,n\}: \sum_{i \in S} w_i \leq W \wedge \sum_{i \in S} v_i \geq K\}$.
Teorema: NP-Completezza di Knapsack — schema della riduzione EC $\leq_P$ KN	Data $(U, \mathcal{F})$ con $U = \{1,\ldots,n\}$ e $\mathcal{F} = \{F_1,\ldots,F_m\}$. Codifica ogni $F_i$ come numero in base $m+1$: $w_i = v_i = \sum_{j \in F_i} (m+1)^{n-j}$. Si pone $W = K = \sum_{j=1}^n (m+1)^{n-j}$ (tutte le cifre uguali a 1 in base $m+1$). La scelta $w_i = v_i$ e $W = K$ forza $\sum_{i \in S} w_i = W$ esattamente. La base $m+1$ evita riporti (sommiamo al più $m$ numeri con cifre in $\{0,1\}$). Completezza: una exact cover produce somma $= W$ perché ogni cifra è coperta esattamente una volta. Correttezza: se la somma è $W$ senza riporti, ogni cifra vale esattamente 1, quindi ogni elemento di $U$ è in esattamente un insieme.
Teorema di COOK-LEVIN — enunciato e dimostrazione (schema)	Enunciato: SAT è NP-Completo. Dimostrazione: SAT $\in$ NP (noto). NP-hardness: $\forall L \in NP$ con decisore NTM $M$ in tempo $p(n)$, costruiamo $\varphi_w$ in CNF tale che $\varphi_w$ soddisfacibile $\iff w \in L$. Variabili: $q^i$ (stato al passo $i$), $h^{i,j}$ (testina sulla cella $j$ al passo $i$), $\alpha^{i,j}$ (simbolo $\alpha$ sulla cella $j$ al passo $i$). Formula $\varphi_w = Cons \wedge Init \wedge Trans \wedge Accept$: Cons garantisce unicità di stato/testina/simbolo per ogni passo; Init fissa la configurazione iniziale; Trans codifica le transizioni (non-determinismo = OR); Accept richiede stato accettante all'ultimo passo. Taglia polinomiale in $n$. Completezza: cammino accettante → assegnamento. Correttezza: assegnamento → cammino accettante.
Definizione di classe coNP	$coNP = \{L \mid \overline{L} \in NP\}$. Equivalentemente, $L \in coNP$ se: $x \in L \iff \forall y, |y| \leq p(|x|) : M(x,y)$ accetta (per una DTM $M$ e polinomio $p$).
Definizione di TAUT	$TAUT = \{\varphi \mid \varphi \text{ è una tautologia}\} = \{\varphi \mid \forall a, \varphi(a) = 1\}$. $\overline{TAUT}$ = SAT su $\neg\varphi$ $\in$ NP, quindi TAUT $\in$ coNP.
Definizione di UNSAT	$UNSAT = \{\varphi \mid \varphi \text{ non è soddisfacibile}\}$. $\overline{UNSAT} = SAT \in NP$, quindi UNSAT $\in$ coNP.
Teorema: $P \subseteq NP \cap coNP$ — dimostrazione	Se $L \in P$, un decisore deterministico polinomiale $M$ decide $L$. Negando il risultato, $M$ decide $\overline{L}$ in tempo polinomiale $\Rightarrow \overline{L} \in P \subseteq NP \Rightarrow L \in coNP$. Analogamente $L \in NP$.
Teorema: $P = NP \Rightarrow NP = coNP$ — dimostrazione	NP $\subseteq$ coNP: sia $L \in NP = P$. $P$ è chiusa per complemento (si inverte la risposta del decisore), quindi $\overline{L} \in P = NP \Rightarrow L \in coNP$. coNP $\subseteq$ NP: sia $L \in coNP$, allora $\overline{L} \in NP = P$, quindi $\overline{L} \in P$ e per chiusura $L \in P = NP$. Contropositiva: $NP \neq coNP \Rightarrow P \neq NP$.
Definizione di coNP-Completezza	$L$ è coNP-Completo se: (1) $L \in coNP$; (2) $\forall L' \in coNP: L' \leq_P L$.
Teorema: Chiusura di coNP sotto riduzione polinomiale — dimostrazione	Se $A \leq_P B$ e $B \in coNP$, allora $A \in coNP$. Dimostrazione: $B \in coNP \Rightarrow \overline{B} \in NP$. La stessa $f$ testimonia $\overline{A} \leq_P \overline{B}$: $x \in \overline{A} \iff x \notin A \iff f(x) \notin B \iff f(x) \in \overline{B}$. NP è chiusa sotto riduzione $\Rightarrow \overline{A} \in NP \Rightarrow A \in coNP$.
Teorema: Dualità NP-completezza / coNP-completezza — dimostrazione	$L$ è NP-Completo $\iff \overline{L}$ è coNP-Completo. Membership: $L \in NP \iff \overline{L} \in coNP$ (per definizione). Hardness: se $L$ è NP-hard ($\forall L' \in NP: L' \leq_P L$ tramite $f$), allora per ogni $M \in coNP$, $\overline{M} \in NP$, quindi $\overline{M} \leq_P L$ tramite $f$. Ma $x \in \overline{M} \iff f(x) \in L \iff f(x) \notin \overline{L}$, quindi $M \leq_P \overline{L}$: $\overline{L}$ è coNP-hard.
Teorema: Collasso $NP = coNP$ via NP-Completo — dimostrazione	$NP = coNP \iff \exists L$ NP-Completo con $L \in coNP$. ($\Rightarrow$): SAT è NP-Completo $\in NP = coNP$. ($\Leftarrow$): NP $\subseteq$ coNP: sia $L' \in NP$. Poiché $L$ è NP-hard, $L' \leq_P L$. Poiché $L \in coNP$ e coNP è chiusa per riduzione, $L' \in coNP$. coNP $\subseteq$ NP: sia $M \in coNP$, $\overline{M} \in NP$. $\overline{L}$ è coNP-Completo e $\overline{L} \in NP$ (perché $L \in coNP$), quindi $M \leq_P \overline{L}$. NP è chiusa per riduzione $\Rightarrow M \in NP$.
Problema FACTOR e $NP \cap coNP$	$FACTOR = \{\langle n,k \rangle \mid n \text{ ha almeno un fattore primo } p \leq k\}$. FACTOR $\in NP$: si indovina un fattore $p \leq k$, si verifica che sia primo (AKS) e che $p \mid n$. FACTOR $\in coNP$: $\overline{FACTOR} \in NP$ perché si indovina l'intera fattorizzazione (al più $\log_2 n$ fattori), si verifica che ogni $p_i$ sia primo, che il prodotto sia $n$ e che $p_i > k$.
Definizione di EXP e NEXP	$EXP = \bigcup_{c \geq 1} DTime(2^{n^c})$ (problemi risolvibili da MdTD in tempo $2^{poly(n)}$). $NEXP = \bigcup_{c \geq 1} NTime(2^{n^c})$ (problemi risolvibili da MdTN in tempo $2^{poly(n)}$). Relazioni: $P \subseteq NP \subseteq EXP \subseteq NEXP$. Separazioni dimostrate: $P \subsetneq EXP$ e $NP \subsetneq NEXP$ (teorema di gerarchia temporale).
Definizione di COMPUTATION SPACE	Numero di celle distinte visitate sul nastro di lavoro. Per MdTN, è il massimo su tutti i rami.
Definizione di RUNNING SPACE	Il running space di $M$ è $s(n)$ se per quasi tutti i $w$ (eccetto un numero finito), il computation space di $M$ su $w$ è limitato da $s(|w|)$.
Definizione di DSpace e NSpace	$DSpace(s(n)) = \{L \mid \exists M \text{ deterministica con } \mathcal{L}(M)=L \text{ e running space } O(s(n))\}$. $NSpace(s(n)) = \{L \mid \exists N \text{ non deterministica con } \mathcal{L}(N)=L \text{ e running space } O(s(n))\}$.
Definizione di L e NL	$L = DSpace(\log n)$ e $NL = NSpace(\log n)$. Lo spazio logaritmico basta per memorizzare un numero costante di puntatori/contatori sull'input.
Esempio: $L_{01} \in L$ — dimostrazione	$L_{01} = \{0^n 1^n \mid n \geq 0\}$. Si usano due contatori binari sul worktape: $c_0$ conta gli zeri, $c_1$ conta gli uni (un solo passaggio sinistro-destro per ciascuno). Ogni contatore occupa $\lceil \log_2 n \rceil$ celle (binario). Spazio totale: $O(\log n)$.
Esempio: $Reach \in NL$ — dimostrazione	$Reach = \{\langle G, s, t \rangle \mid \exists \text{ cammino da } s \text{ a } t\}$. Algoritmo ND: si mantiene il nodo corrente $p$ ($\log |V|$ bit), un guess $p'$ ($\log |V|$ bit), un contatore $cnt$ ($\log |V|$ bit). A ogni passo si indovina $p'$, si verifica $(p,p') \in A$, si aggiorna $p \leftarrow p'$, $cnt \leftarrow cnt+1$. Se $p = t$ si accetta; se $cnt > |V|$ si rifiuta. Spazio totale: $O(\log n)$.
Definizione di TRASDUTTORE LOGSPACE	MdT con tre nastri: input (sola lettura, bidirezionale), worktape (lettura/scrittura, spazio logaritmico), output (sola scrittura, unidirezionale). Il nastro di output è write-only unidirezionale per impedire che diventi un foglio di lavoro aggiuntivo.
Definizione di RIDUZIONE LOGSPACE	$A \leq_L B$ se esiste $f$ calcolabile in logspace deterministico t.c. $\forall w: w \in A \iff f(w) \in B$.
Definizione di NL-Completezza	$L$ è NL-Completo se: (1) $L \in NL$; (2) $\forall L' \in NL: L' \leq_L L$.
Teorema: $Reach$ è NL-Completo — dimostrazione	Membership: $Reach \in NL$ (dimostrato sopra). Hardness: sia $L \in NL$ deciso da MdTN $M_L$ in logspace. Costruiamo la riduzione logspace $f$: su input $w$, $f$ produce $\langle G, s, t \rangle$ dove i nodi di $G$ sono le configurazioni di $M_L$ su $w$ (taglia $O(\log n)$ per configurazione, numero $= n^{O(1)}$), gli archi codificano i legal successors, $s$ è la config. iniziale, $t = v^*$ (nodo fittizio verso cui puntano le config. accettanti). Costruzione in logspace: si enumerano le config. sul worktape due alla volta, si verifica se sono sensate e se l'una è legal successor dell'altra, si scrive l'arco in output. Correttezza: $M_L$ accetta $w \iff \exists$ cammino da $s$ a $v^*$ in $G \iff \langle G, s, t \rangle \in Reach$.
Teorema: $Reach \in DSpace(\log^2 n)$ — enunciato e dimostrazione	Enunciato: $Reach$ si decide deterministicamente in spazio $O(\log^2 n)$. Dimostrazione: ricerca binaria sui cammini con la procedura ricorsiva $\texttt{Exists-path}(G, s, t, k)$: se $k=0$ accetta sse $s=t$; se $k=1$ accetta sse $(s,t) \in A$; altrimenti per ogni $u \in V$ verifica $\texttt{Exists-path}(G,s,u,\lceil k/2 \rceil)$ and $\texttt{Exists-path}(G,u,t,\lfloor k/2 \rfloor)$. Chiamata iniziale: $\texttt{Exists-path}(G,s,t,|V|)$. Spazio per frame: $O(\log n)$ (tre puntatori + contatore). Profondità dello stack: $O(\log |V|) = O(\log n)$ (si dimezza $k$ ad ogni livello). Spazio totale: $O(\log n) \cdot O(\log n) = O(\log^2 n)$.
Teorema di SAVITCH (1970) — enunciato e dimostrazione	Enunciato: Sia $s(n) \in \Omega(\log n)$. Allora $NSpace(s(n)) \subseteq DSpace(s(n)^2)$. Dimostrazione: sia $L \in NSpace(s(n))$, deciso da MdTN $M$ con spazio $s(n)$. Costruiamo il computation graph di $M$ su $w$: nodi = configurazioni di $M$ su $w$ (taglia $O(s(n))$, numero $= O(|\Gamma|^{s(n)})$, archi = legal successors. Applichiamo $\texttt{Exists-path}$ a questo grafo. Il grafo non viene materializzato: si calcolano al volo archi e nodi. Spazio dell'algoritmo: $O(\log^2 N)$ dove $N = O(|\Gamma|^{s(n)})$, quindi $\log N = O(s(n))$, spazio $= O(s(n)^2)$.
Corollario: $PSpace = NPSpace$ — dimostrazione	Per Savitch: $NSpace(n^c) \subseteq DSpace((n^c)^2) = DSpace(n^{2c}) \subseteq PSpace$. Quindi $NPSpace \subseteq PSpace$. Banalmente $PSpace \subseteq NPSpace$, quindi $PSpace = NPSpace$.
Teorema: $L \subseteq P$ — dimostrazione	Sia $M$ deterministica in logspace, sempre terminante. Il numero di configurazioni è al più $2^{O(\log n)} = n^{O(1)}$ (polinomiale). Poiché $M$ si arresta sempre, non visita la stessa configurazione due volte (loop). Quindi il tempo è polinomiale.
Teorema: $NL \subseteq P$ — dimostrazione	$Reach$ è NL-Completo. Ogni $L \in NL$ si riduce in logspace (quindi in tempo polinomiale per $L \subseteq P$) a $Reach$. $Reach$ si risolve in tempo polinomiale tramite BFS deterministico. Componendo: $NL \subseteq P$.
Teorema: $NP \subseteq PSpace$ — dimostrazione	Una NTM in tempo polinomiale usa al più spazio polinomiale. Quindi $NP \subseteq NPSpace = PSpace$ (per Savitch).
Teorema: $coNP \subseteq PSpace$ — dimostrazione	Sia $L \in coNP$: $\overline{L} \in NP \subseteq PSpace$. $PSpace$ è chiusa per complemento (si scambiano accept/reject in un decisore deterministico). Quindi $L \in PSpace$.
Teorema: $PSpace \subseteq EXP$ — dimostrazione	Una macchina in $PSpace$ ha al più $2^{poly(n)}$ configurazioni distinte. Se si arresta sempre, il tempo è al più $2^{poly(n)}$. Dunque $PSpace \subseteq EXP$.
Mappa completa delle classi di complessità	$L \subseteq NL \subseteq P \subseteq NP \cup coNP \subseteq PSpace = NPSpace \subseteq EXP \subseteq NEXP$. Inclusioni strette dimostrate: $L \subsetneq PSpace \subsetneq EXPSPACE$ e $P \subsetneq EXP$ (teorema di gerarchia spaziale e temporale).
Definizione di MdT a ORACOLO	Una MdT a oracolo $M^?$ è una MdT con: nastri ordinari + oracle-tape (write-only) + tre stati speciali: $q_?$ (interrogazione: l'oracolo legge l'oracle-tape e risponde in un passo), $q_{yes}$, $q_{no}$. L'oracle-tape si cancella automaticamente dopo ogni query. Quando l'oracolo decide $L$ specifico, si scrive $M^L$.
Definizione di classi $P^C$ e $NP^C$	$P^C = \{L \mid L \text{ deciso in tempo pol. da DTM a oracolo con oracolo per un } L' \in C\}$. $NP^C = \{L \mid L \text{ deciso in tempo pol. da NTM a oracolo con oracolo per un } L' \in C\}$.
Teorema: $NP \subseteq P^{NP}$ — dimostrazione	Sia $L \in NP$. Costruiamo $M$ deterministica polinomiale con oracolo per $L$: copia $w$ sull'oracle-tape, esegue la query, restituisce la risposta. Tempo polinomiale con oracolo NP $\Rightarrow L \in P^{NP}$.
Teorema: $coNP \subseteq P^{NP}$ — dimostrazione	Sia $L \in coNP$, quindi $\overline{L} \in NP$. Con oracolo per $\overline{L}$: si chiede "$w \in \overline{L}$?" e si inverte la risposta. Tempo polinomiale con oracolo NP $\Rightarrow L \in P^{NP}$.
Definizione di GERARCHIA POLINOMIALE	Definita ricorsivamente per $i \geq 0$: $\Sigma_0^P = \Pi_0^P = \Delta_0^P = P$; $\Sigma_i^P = NP^{\Sigma_{i-1}^P}$; $\Pi_i^P = co\Sigma_i^P$; $\Delta_{i+1}^P = P^{\Sigma_i^P}$. Livelli principali: $\Sigma_1^P = NP$, $\Pi_1^P = coNP$, $\Delta_2^P = P^{NP}$, $\Sigma_2^P = NP^{NP}$.
Definizione di PH (Polynomial Hierarchy)	$PH = \bigcup_{i \geq 0} \Sigma_i^P = \bigcup_{i \geq 0} \Pi_i^P = \bigcup_{i \geq 0} \Delta_i^P$. Banalmente $PH \subseteq PSpace$.
Teorema: $\Sigma_i^P \subseteq \Delta_{i+1}^P$	Una DTM polinomiale delega all'oracolo: copia l'input sull'oracle-tape e restituisce la risposta. Tempo polinomiale con oracolo $\Sigma_i^P \Rightarrow L \in \Delta_{i+1}^P$.
Teorema: $\Delta_i^P \subseteq \Sigma_i^P$	Entrambe usano oracolo in $\Sigma_{i-1}^P$, ma $\Delta_i^P$ ha chiamante deterministico mentre $\Sigma_i^P$ ha chiamante non deterministico. Una NTM è più potente di una DTM.
Teorema: $\Delta_i^P \subseteq \Pi_i^P$ — dimostrazione	$\Delta_i^P$ è chiusa sotto complemento. Sia $L \in \Delta_i^P$, deciso da $M^?$ deterministica polinomiale. Scambiando accept/reject si ottiene $M_{inv}^?$ che decide $\overline{L}$ con lo stesso oracolo $\Rightarrow \overline{L} \in \Delta_i^P \subseteq \Sigma_i^P$. Quindi $L \in \Pi_i^P = co\Sigma_i^P$. L'argomento funziona perché il chiamante è deterministico.
Definizione di COLLASSO della gerarchia polinomiale	Se per qualche $i$ vale $\Sigma_i^P = \Pi_i^P$, allora tutta la gerarchia collassa al livello $i$: $\Sigma_j^P = \Sigma_i^P$ per ogni $j \geq i$. In particolare: se $NP = coNP$, la gerarchia collassa a $NP$; se $P = NP$, tutta la gerarchia collassa a $P$.
Intuizione: $\exists\forall$-SAT è $\Sigma_2^P$-completo	$\exists\forall$-SAT: $\exists \vec{x}. \forall \vec{y}. \varphi(\vec{x}, \vec{y})$. Il primo quantificatore ($\exists$) indica $\Sigma$, il numero di alternanze (2) indica il livello. Il pattern si generalizza: $k$ alternanze $\to$ livello $\lceil k/2 \rceil$; più quantificatori alternati modellano giochi a due giocatori.
Definizione di Min-cover	$Min\text{-}cover = \{\langle G,k \rangle \mid G \text{ ha vertex cover di taglia minima esattamente } k\}$. Appartiene a $\Delta_2^P = P^{NP}$ (si fanno due query all'oracolo VC: $\langle G,k \rangle \in VC$ e $\langle G,k-1 \rangle \notin VC$).
Definizione di FP (Functional Polynomial)	$FP$ è la classe delle funzioni calcolate da trasduttori deterministici in tempo polinomiale. È l'analogo funzionale di $P$.
Definizione di $FP^C[g(n)]$	La classe delle funzioni calcolate da trasduttori deterministici polinomiali con oracolo in $C$ che fanno al più $g(n)$ query.
Teorema: $FMin\text{-}cover \in FP^{NP}[O(\log n)]$	Con oracolo per VC (NP-Completo), si fa ricerca binaria sulla taglia: si mantengono $\ell = 0, r = |V|$, si chiede se $\langle G, m \rangle \in VC$ con $m = \lfloor (\ell+r)/2 \rfloor$, si dimezza l'intervallo. Numero di query: $O(\log |V|)$.
Teorema: $FMin\text{-}cover \in FP \Rightarrow P = NP$ — dimostrazione	Si riduce VC a FMin-cover: dato $\langle G,k \rangle$, si calcola $m = FMin\text{-}cover(G)$ (polinomiale per ipotesi) e si risponde sì sse $m \leq k$. Quindi $VC \in P$, ma VC è NP-Completo, quindi $P = NP$.
Definizione di TSP (versionale decisionale)	$TSP = \{\langle G,k \rangle \mid G \text{ grafo pesato non orientato che ammette un HC di peso } \leq k\}$. FTSP: dato $G$, calcolare il costo minimo di un ciclo hamiltoniano.
Teorema: $FTSP \in FP^{NP}[O(\|G\|)]$ — dimostrazione (schema)	Con oracolo per TSP: (1) Calcola $\Sigma = \sum_{e \in E} \lambda(e)$ (upper bound). (2) Verifica $\langle G, \Sigma \rangle \in TSP$ (se no, non esiste HC). (3) Ricerca binaria su $[0, \Sigma]$: ad ogni passo chiede $\langle G,m \rangle \in TSP$. Numero query: $\lceil \log_2(\Sigma+1) \rceil = O(\log \Sigma) = O(\|G\|)$ (i pesi sono codificati in binario). Correttezza: TSP è monotono in $k$; la ricerca binaria converge al $k^*$ corretto.
Teorema: NP-completezza di TSP — dimostrazione (schema)	TSP $\in$ NP: si indovina un HC e si verifica peso $\leq k$. NP-hardness: catena $3SAT \leq_P DHC \leq_P HC \leq_P TSP$. Riduzione $HC \leq_P TSP$: $H = G$, $\lambda(e) = 1$ per ogni arco, $k = |V|$. Ogni HC visita esattamente $|V|$ archi di peso 1, totale $= k$.
Riduzione $3SAT \leq_P DHC$ — schema	Per ogni variabile $x_i$: catena di $2m$ nodi con percorso verde ($x_i = \top$) e rosso ($x_i = \bot$). $m$ nodi clausola con archi di detour dalla catena del colore giusto. $\varphi$ soddisfacibile $\iff$ DHC in $G$: dall'assegnamento si costruisce l'HC scegliendo il percorso giusto e facendo detour sui nodi clausola.
Riduzione $DHC \leq_P HC$ — schema	Per ogni nodo $a$ in $G$ si creano tre nodi $a^{in}, a^{mid}, a^{out}$ in $H$. Archi: $a^{in} - a^{mid}$, $a^{mid} - a^{out}$ per ogni $a$; $a^{out} - b^{in}$ per ogni arco orientato $(a \to b)$ in $G$. Il nodo $a^{mid}$ ha solo due vicini $\Rightarrow$ ogni HC di $H$ deve passare per $a^{in} - a^{mid} - a^{out}$. Correttezza: HC orientato in $G \iff$ HC non orientato in $H$.
